Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2014-10-28,38-186,SAS,,DAL,W (+1),1,30:11,5,10,.500,0,0,,4,5,.800,5,8,13,2,1,2,5,0,14,13.3,-2\
2,2,2014-10-31,38-189,SAS,@,PHO,L (-5),1,30:20,6,11,.545,0,0,,4,6,.667,1,8,9,2,0,0,1,0,16,13.4,+3\
3,3,2014-11-05,38-194,SAS,,ATL,W (+2),1,34:45,5,12,.417,0,0,,7,12,.583,5,8,13,4,3,6,0,2,17,23.7,+5\
4,,2014-11-06,38-195,SAS,@,HOU,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play\
5,4,2014-11-08,38-197,SAS,,NOP,L (-1),1,32:36,3,10,.300,0,0,,5,6,.833,3,7,10,1,0,1,3,1,11,7.0,-1\
6,5,2014-11-10,38-199,SAS,@,LAC,W (+4),1,35:38,6,14,.429,0,0,,6,8,.750,2,9,11,3,0,1,1,3,18,14.5,+7\
7,6,2014-11-11,38-200,SAS,@,GSW,W (+13),1,35:23,5,13,.385,0,0,,2,3,.667,1,12,13,3,2,0,1,4,12,10.3,+11\
8,7,2014-11-14,38-203,SAS,@,LAL,W (+13),1,25:14,6,8,.750,0,0,,1,1,1.000,0,11,11,2,1,0,1,1,13,14.1,+6\
9,8,2014-11-15,38-204,SAS,@,SAC,L (-3),1,34:09,4,11,.364,0,0,,7,8,.875,0,8,8,2,0,5,1,4,15,13.2,-5\
10,9,2014-11-17,38-206,SAS,,PHI,W (+25),1,16:21,4,7,.571,0,0,,2,3,.667,2,7,9,2,0,0,3,1,10,7.8,+19\
11,10,2014-11-19,38-208,SAS,@,CLE,W (+2),1,34:39,7,17,.412,0,0,,5,7,.714,4,6,10,3,2,2,6,4,19,11.6,+2\
