,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year,diff
1,Detroit Pistons,106.0,Atlanta Hawks,94.0,2016,12.0
2,Cleveland Cavaliers,95.0,Chicago Bulls,97.0,2016,-2.0
3,New Orleans Pelicans,95.0,Golden State Warriors,111.0,2016,-16.0
4,Philadelphia 76ers,95.0,Boston Celtics,112.0,2016,-17.0
5,Chicago Bulls,115.0,Brooklyn Nets,100.0,2016,15.0
6,Utah Jazz,87.0,Detroit Pistons,92.0,2016,-5.0
7,Denver Nuggets,105.0,Houston Rockets,85.0,2016,20.0
8,Minnesota Timberwolves,112.0,Los Angeles Lakers,111.0,2016,1.0
9,Cleveland Cavaliers,106.0,Memphis Grizzlies,76.0,2016,30.0
10,Charlotte Hornets,94.0,Miami Heat,104.0,2016,-10.0
11,New York Knicks,122.0,Milwaukee Bucks,97.0,2016,25.0
12,San Antonio Spurs,106.0,Oklahoma City Thunder,112.0,2016,-6.0
13,Washington Wizards,88.0,Orlando Magic,87.0,2016,1.0
14,Dallas Mavericks,111.0,Phoenix Suns,95.0,2016,16.0
15,New Orleans Pelicans,94.0,Portland Trail Blazers,112.0,2016,-18.0
16,Los Angeles Clippers,111.0,Sacramento Kings,104.0,2016,7.0
17,Indiana Pacers,99.0,Toronto Raptors,106.0,2016,-7.0
18,Memphis Grizzlies,112.0,Indiana Pacers,103.0,2016,9.0
19,Dallas Mavericks,88.0,Los Angeles Clippers,104.0,2016,-16.0
20,Atlanta Hawks,112.0,New York Knicks,101.0,2016,11.0
21,Charlotte Hornets,94.0,Atlanta Hawks,97.0,2016,-3.0
22,Toronto Raptors,113.0,Boston Celtics,103.0,2016,10.0
23,Miami Heat,92.0,Cleveland Cavaliers,102.0,2016,-10.0
24,Minnesota Timberwolves,95.0,Denver Nuggets,78.0,2016,17.0
25,Chicago Bulls,94.0,Detroit Pistons,98.0,2016,-4.0
26,Golden State Warriors,112.0,Houston Rockets,92.0,2016,20.0
27,Washington Wizards,118.0,Milwaukee Bucks,113.0,2016,5.0
