Player,Tm,2015-16,DRtg,ORtg
Kobe Bryant,Los Angeles Lakers,25000000,113,95
Joe Johnson,Brooklyn Nets,24894863,114,114
LeBron James,Cleveland Cavaliers,22971000,103,116
Carmelo Anthony,New York Knicks,22875000,107,107
Dwight Howard,Houston Rockets,22359364,104,111
Chris Bosh,Miami Heat,22192730,104,114
Chris Paul,Los Angeles Clippers,21468696,103,119
Kevin Durant,Oklahoma City Thunder,20158622,104,122
Derrick Rose,Chicago Bulls,20093063,110,96
Dwyane Wade,Miami Heat,20000000,106,103
Brook Lopez,Brooklyn Nets,20000000,109,109
Marc Gasol,Memphis Grizzlies,19700000,106,105
LaMarcus Aldridge,San Antonio Spurs,19500000,99,114
DeAndre Jordan,Los Angeles Clippers,19500000,98,122
Kevin Love,Cleveland Cavaliers,19500000,102,112
Paul Millsap,Atlanta Hawks,19000000,96,108
Blake Griffin,Los Angeles Clippers,18907725,103,108
Paul George,Indiana Pacers,17120106,101,107
Russell Westbrook,Oklahoma City Thunder,16744218,103,115
Kawhi Leonard,San Antonio Spurs,16500000,96,121
Enes Kanter,Oklahoma City Thunder,16400000,105,123
Greg Monroe,Milwaukee Bucks,16400000,106,113
Wesley Matthews,Dallas Mavericks,16400000,109,105
Tobias Harris,Detroit Pistons,16000000,107,120
John Wall,Washington Wizards,15851950,104,102
James Harden,Houston Rockets,15756438,108,115
Eric Gordon,New Orleans Pelicans,15514031,113,108
Roy Hibbert,Los Angeles Lakers,15500000,110,105
Klay Thompson,Golden State Warriors,15500000,107,112
David Lee,Boston Celtics,15493680,103,125
Gordon Hayward,Utah Jazz,15409570,105,110
Chandler Parsons,Dallas Mavericks,15361500,108,110
Jimmy Butler,Chicago Bulls,15260000,106,116
Khris Middleton,Milwaukee Bucks,15000000,110,109
Goran Dragic,Miami Heat,14780000,107,105
Kyrie Irving,Cleveland Cavaliers,14746000,106,109
DeMarcus Cousins,Sacramento Kings,14728844,103,103
Draymond Green,Golden State Warriors,14300000,100,115
Tristan Thompson,Cleveland Cavaliers,14260870,104,130
Reggie Jackson,Detroit Pistons,14000000,108,109
Danilo Gallinari,Denver Nuggets,14000000,111,120
Al Jefferson,Charlotte Hornets,13833333,102,105
DeMarre Carroll,Toronto Raptors,13500000,104,100
Tony Parker,San Antonio Spurs,13437500,103,109
Joakim Noah,Chicago Bulls,13400000,101,98
Eric Bledsoe,Phoenix Suns,13086957,107,107
Nene Hilario,Washington Wizards,13000000,103,106
Tyson Chandler,Phoenix Suns,13000000,107,114
Robin Lopez,New York Knicks,13000000,107,113
Ty Lawson,Houston Rockets,12404495,112,106
Rudy Gay,Sacramento Kings,12403101,108,104
Ricky Rubio,Minnesota Timberwolves,12365000,107,110
Serge Ibaka,Oklahoma City Thunder,12350000,105,108
Nicolas Batum,Charlotte Hornets,12235750,105,104
Nikola Pekovic,Minnesota Timberwolves,12100000,115,94
Kyle Lowry,Toronto Raptors,12000000,104,115
Brandon Knight,Phoenix Suns,12000000,111,100
JaVale McGee,Philadelphia 76ers,12000000,103,110
Andrew Bogut,Golden State Warriors,12000000,99,120
Kemba Walker,Charlotte Hornets,12000000,105,112
Amir Johnson,Boston Celtics,12000000,102,117
Al Horford,Atlanta Hawks,12000000,101,113
Derrick Favors,Utah Jazz,11933333,101,111
Andre Iguodala,Golden State Warriors,11710456,105,115
Stephen Curry,Golden State Warriors,11370786,103,125
Nikola Vucevic,Orlando Magic,11250000,105,106
Kenneth Faried,Denver Nuggets,11235955,107,116
Tyreke Evans,New Orleans Pelicans,11227000,109,105
Marcin Gortat,Washington Wizards,11217391,104,114
Thaddeus Young,Brooklyn Nets,11200000,107,104
Omer Asik,New Orleans Pelicans,11000000,108,106
Jrue Holiday,New Orleans Pelicans,10595507,109,105
Monta Ellis,Indiana Pacers,10300000,103,99
Luol Deng,Miami Heat,10151612,105,112
Danny Green,San Antonio Spurs,10000000,99,99
Zach Randolph,Memphis Grizzlies,9638555,109,107
Anderson Varejao,Portland Trail Blazers,9638554,103,108
Mike Conley,Memphis Grizzlies,9588426,110,115
DeMar DeRozan,Toronto Raptors,9500000,108,113
Rajon Rondo,Sacramento Kings,9500000,107,105
Alec Burks,Utah Jazz,9213484,107,104
Jeff Green,Los Angeles Clippers,9200000,110,104
Lance Stephenson,Memphis Grizzlies,9000000,109,105
Iman Shumpert,Cleveland Cavaliers,9000000,103,97
Ryan Anderson,New Orleans Pelicans,8500000,112,108
Kevin Garnett,Minnesota Timberwolves,8500000,105,107
Taj Gibson,Chicago Bulls,8500000,106,115
Tiago Splitter,Atlanta Hawks,8500000,102,113
Brandon Jennings,Orlando Magic,8344497,108,107
Dirk Nowitzki,Dallas Mavericks,8333334,106,110
Corey Brewer,Houston Rockets,8200000,109,98
Trevor Ariza,Houston Rockets,8193030,108,110
Markieff Morris,Washington Wizards,8000000,108,100
Arron Afflalo,New York Knicks,8000000,112,105
O.J. Mayo,Milwaukee Bucks,8000000,110,91
George Hill,Indiana Pacers,8000000,106,112
Jeff Teague,Atlanta Hawks,8000000,104,105
Ersan Ilyasova,Orlando Magic,7900000,107,111
