Player,Tm,2015-16,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Tm_Index
Kobe Bryant,Los Angeles Lakers,25000000,SF,37,66,66,1863,10.7,30.0,0.358,3.6,12.6,0.285,7.1,17.4,0.41,6.3,7.6,0.826,1.1,5.6,6.7,5.0,1.7,0.4,3.5,3.1,31.3,95.0,113.0,1
Joe Johnson,Brooklyn Nets,24894863,SF,34,81,81,2703,7.1,16.1,0.439,2.2,5.9,0.383,4.8,10.2,0.471,2.2,2.7,0.831,0.9,4.6,5.5,6.0,1.1,0.1,3.0,2.7,18.6,104.0,113.0,27
LeBron James,Cleveland Cavaliers,22971000,SF,31,76,76,2709,14.0,26.9,0.52,1.7,5.4,0.309,12.3,21.5,0.573,6.8,9.3,0.731,2.1,8.6,10.7,9.8,2.0,0.9,4.7,2.7,36.5,116.0,103.0,25
Carmelo Anthony,New York Knicks,22875000,SF,31,72,72,2530,11.5,26.6,0.434,2.1,6.3,0.339,9.4,20.3,0.463,6.8,8.2,0.829,2.0,9.3,11.3,6.1,1.3,0.8,3.6,3.7,32.0,107.0,107.0,0
Dwight Howard,Houston Rockets,22359364,C,30,71,71,2280,8.0,12.9,0.62,0.0,0.1,0.0,8.0,12.8,0.626,5.0,10.2,0.489,5.1,12.9,18.0,2.1,1.5,2.4,3.6,4.7,21.0,111.0,104.0,13
Chris Bosh,Miami Heat,22192730,PF,31,53,53,1778,10.3,22.1,0.467,2.3,6.4,0.365,8.0,15.7,0.508,6.1,7.7,0.795,1.4,9.9,11.3,3.7,1.0,1.0,2.3,2.9,29.1,114.0,104.0,7
Chris Paul,Los Angeles Clippers,21468696,PG,30,74,74,2420,10.7,23.1,0.462,2.5,6.8,0.371,8.1,16.3,0.501,6.1,6.8,0.896,0.8,5.6,6.4,15.3,3.1,0.3,4.0,3.8,29.9,119.0,103.0,16
Kevin Durant,Oklahoma City Thunder,20158622,SF,27,72,72,2578,13.4,26.6,0.505,3.6,9.2,0.388,9.9,17.3,0.568,8.6,9.6,0.898,0.9,10.5,11.3,7.0,1.3,1.6,4.8,2.6,39.1,122.0,104.0,17
Derrick Rose,Chicago Bulls,20093063,PG,27,66,66,2097,10.7,25.1,0.427,1.1,3.6,0.293,9.6,21.5,0.449,3.4,4.3,0.793,1.1,4.3,5.4,7.4,1.1,0.3,4.2,2.0,25.8,96.0,110.0,11
Dwyane Wade,Miami Heat,20000000,SG,34,74,73,2258,12.3,26.9,0.456,0.2,1.0,0.159,12.1,25.9,0.468,7.3,9.2,0.793,1.9,5.0,6.9,7.8,1.8,1.0,4.6,2.6,32.0,103.0,106.0,7
Brook Lopez,Brooklyn Nets,20000000,C,27,73,73,2457,12.1,23.7,0.511,0.0,0.3,0.143,12.1,23.4,0.515,6.5,8.3,0.787,4.2,7.6,11.8,3.0,1.2,2.5,3.6,4.4,30.8,109.0,109.0,27
Marc Gasol,Memphis Grizzlies,19700000,C,31,52,52,1791,9.4,20.3,0.464,0.1,0.1,0.667,9.4,20.2,0.463,5.8,7.0,0.829,1.7,8.7,10.4,5.6,1.4,2.0,3.4,4.1,24.7,105.0,106.0,2
LaMarcus Aldridge,San Antonio Spurs,19500000,PF,30,74,74,2261,12.1,23.7,0.513,0.0,0.4,0.0,12.1,23.3,0.521,5.9,6.8,0.858,4.0,10.3,14.3,2.5,0.9,1.8,2.2,3.4,30.1,114.0,99.0,3
DeAndre Jordan,Los Angeles Clippers,19500000,C,27,77,77,2598,6.9,9.8,0.703,0.0,0.0,0.0,6.9,9.8,0.704,5.1,11.9,0.43,5.1,15.3,20.4,1.7,1.0,3.4,2.1,4.0,18.9,122.0,98.0,16
Kevin Love,Cleveland Cavaliers,19500000,PF,27,77,77,2424,8.7,20.7,0.419,3.4,9.3,0.36,5.3,11.4,0.467,5.5,6.7,0.822,3.2,13.0,16.2,3.9,1.2,0.9,3.0,3.4,26.2,112.0,102.0,25
Paul Millsap,Atlanta Hawks,19000000,PF,30,81,81,2647,9.4,19.9,0.47,1.4,4.3,0.319,8.0,15.6,0.512,5.8,7.6,0.757,3.7,10.0,13.7,4.9,2.7,2.6,3.6,4.4,25.9,108.0,96.0,26
Blake Griffin,Los Angeles Clippers,18907725,PF,26,35,35,1170,12.9,25.8,0.499,0.3,0.8,0.333,12.6,25.1,0.504,6.0,8.3,0.727,2.2,10.4,12.6,7.3,1.2,0.7,3.6,4.1,32.1,108.0,103.0,16
Paul George,Indiana Pacers,17120106,SF,25,81,81,2819,10.7,25.5,0.418,3.7,10.0,0.372,7.0,15.6,0.447,8.0,9.3,0.86,1.4,8.5,9.9,5.8,2.7,0.5,4.7,4.1,33.0,107.0,101.0,28
Russell Westbrook,Oklahoma City Thunder,16744218,PG,27,80,80,2749,11.8,26.1,0.454,1.8,6.2,0.296,10.0,19.9,0.503,8.4,10.3,0.812,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,115.0,103.0,17
Kawhi Leonard,San Antonio Spurs,16500000,SF,24,72,72,2380,11.9,23.4,0.506,2.8,6.3,0.443,9.1,17.2,0.528,6.3,7.2,0.874,2.0,8.6,10.6,4.0,2.8,1.5,2.3,2.9,32.8,121.0,96.0,3
Enes Kanter,Oklahoma City Thunder,16400000,C,23,82,1,1721,11.9,20.7,0.576,0.3,0.6,0.476,11.7,20.1,0.579,5.8,7.2,0.797,7.2,12.0,19.2,1.0,0.7,1.0,3.3,4.8,29.9,123.0,105.0,17
Greg Monroe,Milwaukee Bucks,16400000,C,25,79,67,2314,10.8,20.7,0.522,0.0,0.0,0.0,10.8,20.7,0.522,5.0,6.8,0.74,4.8,10.5,15.3,3.9,1.6,1.5,2.8,3.6,26.6,113.0,106.0,19
Wesley Matthews,Dallas Mavericks,16400000,SG,29,78,78,2644,6.4,16.4,0.388,3.6,10.1,0.36,2.7,6.3,0.432,2.4,2.8,0.863,0.5,4.1,4.6,2.9,1.5,0.3,1.5,3.4,18.8,105.0,109.0,14
Tobias Harris,Detroit Pistons,16000000,PF,23,76,74,2513,8.3,17.7,0.469,1.6,4.8,0.335,6.7,13.0,0.518,4.0,4.9,0.831,1.9,8.3,10.2,3.4,1.3,0.8,2.2,3.1,22.3,112.0,107.0,5
John Wall,Washington Wizards,15851950,PG,25,77,77,2784,10.0,23.6,0.424,2.0,5.7,0.351,8.0,17.9,0.448,4.8,6.0,0.791,0.7,5.9,6.6,13.8,2.5,1.0,5.6,2.8,26.8,102.0,104.0,12
James Harden,Houston Rockets,15756438,SG,26,82,82,3125,11.2,25.4,0.439,3.7,10.3,0.359,7.5,15.1,0.494,11.3,13.2,0.86,1.0,6.9,7.9,9.6,2.2,0.8,5.9,3.6,37.4,115.0,108.0,13
Eric Gordon,New Orleans Pelicans,15514031,SG,27,45,44,1481,7.7,18.5,0.418,3.8,9.8,0.384,4.0,8.6,0.457,3.7,4.2,0.888,0.3,3.0,3.3,4.1,1.4,0.5,2.4,3.3,23.0,108.0,113.0,24
