Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
beta_0, 0.468634081929, 0.332985642329, 0.0331875257455, -0.182663505658, 0.642702964288, -0.182663505658, 0.609378496933, 0.628127396237, 0.636263513081, 0.644202386746
beta_1, 0.292927439251, 0.0222949178753, 0.00205758108143, 0.271549053667, 0.303760417592, 0.229679635557, 0.298279696928, 0.300857605942, 0.302475230646, 0.303760417592
beta_2, -0.885850912402, 0.0812378525887, 0.00761052194769, -1.00630274702, -0.822397297901, -1.00630274702, -0.874582065836, -0.860794806696, -0.842425688449, -0.822051728009
beta_3, 0.548003033076, 0.0518101048212, 0.00512038726835, 0.498967972626, 0.645916042485, 0.498967972626, 0.512479979873, 0.534044619837, 0.541592701884, 0.645916042485
beta_4, -1.87261492049, 0.0969686535922, 0.00881765432149, -1.92621407965, -1.81830281935, -1.92519395887, -1.90638515426, -1.89989170175, -1.88196261428, -1.56459657191
beta_5, 0.0406136493031, 0.0794819618326, 0.00768124792319, -0.0953509600055, 0.0867937529838, -0.0953509600055, 0.0656616826818, 0.0755754136854, 0.0778368317197, 0.0876006125126
beta_6, 1.34502808167, 0.525642249062, 0.0523104243604, 1.04606556886, 2.46436222761, 1.04112184633, 1.0678906031, 1.10714642617, 1.12881100976, 2.46436222761
beta_7, -1.47857799198, 0.114112359724, 0.0113040795693, -1.56496466724, -1.25785492711, -1.5664805861, -1.53572446054, -1.52439821883, -1.51422921159, -1.25785492711
beta_8, 1.09230844123, 0.412469396511, 0.0413137599206, 0.854865553565, 1.95088814167, 0.841766008367, 0.874833383933, 0.90213424181, 0.913828527453, 1.95088814167
beta_9, -0.156312001324, 0.0499353619141, 0.00497695365654, -0.257489256758, -0.123319189862, -0.257489256758, -0.14473055705, -0.133611768704, -0.129379874727, -0.122514121885
beta_10, 0.823074382657, 0.0643863643467, 0.00617010029867, 0.779419060123, 0.953799422669, 0.777861911352, 0.785059190091, 0.803588085343, 0.811271057176, 0.953799422669
beta_11, 0.0633960951265, 0.0938917537459, 0.00909374435567, -0.0838203908663, 0.13355712093, -0.0838203908663, 0.08335920181, 0.0975623429964, 0.123100221285, 0.133789943656
beta_12, 0.207136914889, 0.0718775151225, 0.00679112853958, 0.0672361265671, 0.243177436358, 0.0672361265671, 0.226365229863, 0.233126262069, 0.238726710718, 0.244002293834
beta_13, -3.40682586048, 0.110126173399, 0.00968078132465, -3.5650942768, -3.31738015044, -3.56285858301, -3.43290395012, -3.4008920262, -3.33265849992, -3.30926685312
beta_14, 0.177778484474, 0.015277118284, 0.00125835152369, 0.170697899648, 0.183354918737, 0.170463671058, 0.173012136541, 0.178619883922, 0.180615962243, 0.183326666977
beta_15, 3.13790442256, 0.304892248247, 0.0304780699412, 2.5289618331, 3.34624973234, 2.5289618331, 3.23827182443, 3.26410594083, 3.30535231664, 3.35329480507
beta_16, -1.92628659664, 0.303298050093, 0.0304151117843, -2.10689366441, -1.31841193267, -2.10788222483, -2.09616088266, -2.06127122184, -2.04791428401, -1.31841193267
beta_17, 0.512882033582, 0.053726954542, 0.00531295410504, 0.406324275853, 0.545938455616, 0.406324275853, 0.526874993197, 0.534755478517, 0.543802457509, 0.547292490367
beta_18, -0.0349238367004, 0.0440572114382, 0.00368619998428, -0.0552598942031, -0.010578085419, -0.055338105976, -0.0477002088259, -0.0428103179341, -0.0401895607813, -0.010578085419
