Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2011-12-26,35-245,SAS,,MEM,W (+13),1,21:12,4,7,.571,0,0,,2,2,1.000,2,4,6,3,0,1,4,4,10,6.5,+10\
2,2,2011-12-28,35-247,SAS,,LAC,W (+25),1,25:37,5,13,.385,0,0,,0,0,,0,8,8,2,0,0,1,2,10,4.9,+17\
3,3,2011-12-29,35-248,SAS,@,HOU,L (-20),1,15:37,1,8,.125,0,0,,2,2,1.000,1,0,1,1,0,1,0,0,4,0.9,-28\
4,4,2011-12-31,35-250,SAS,,UTA,W (+15),1,26:36,4,13,.308,0,0,,4,5,.800,0,9,9,2,0,1,1,1,12,7.5,+20\
5,5,2012-01-02,35-252,SAS,@,MIN,L (-10),1,28:15,7,12,.583,0,0,,2,2,1.000,0,2,2,5,0,1,1,1,16,13.8,-15\
6,6,2012-01-04,35-254,SAS,,GSW,W (+6),1,31:01,6,9,.667,0,0,,3,4,.750,1,10,11,1,3,3,1,1,15,18.8,+8\
7,7,2012-01-05,35-255,SAS,,DAL,W (+22),1,25:06,4,13,.308,0,0,,2,6,.333,1,4,5,1,0,0,0,2,10,2.7,+17\
8,8,2012-01-07,35-257,SAS,,DEN,W (+4),1,19:49,4,8,.500,0,0,,2,2,1.000,0,2,2,5,0,0,2,0,10,8.1,+3\
9,9,2012-01-08,35-258,SAS,@,OKC,L (-12),1,23:24,5,13,.385,0,0,,1,2,.500,2,5,7,2,0,0,2,2,11,5.0,-5\
10,10,2012-01-10,35-260,SAS,@,MIL,L (-3),1,35:50,9,12,.750,0,0,,2,3,.667,0,8,8,7,1,3,3,3,20,21.0,+7\
11,11,2012-01-11,35-261,SAS,,HOU,W (+6),1,38:08,7,17,.412,0,0,,3,6,.500,5,6,11,5,3,2,4,0,17,15.9,+8\
12,12,2012-01-13,35-263,SAS,,POR,W (+16),1,20:54,3,7,.429,0,0,,1,2,.500,2,7,9,1,1,1,5,3,7,2.6,-3\
13,13,2012-01-15,35-265,SAS,,PHO,W (+11),1,30:41,10,14,.714,0,1,.000,4,6,.667,0,11,11,4,1,2,2,3,24,22.7,+5\
14,14,2012-01-17,35-267,SAS,@,MIA,L (-22),1,26:49,4,10,.400,0,0,,0,0,,2,5,7,3,1,0,2,2,8,5.8,-5\
15,15,2012-01-18,35-268,SAS,@,ORL,W (+2),1,35:38,6,13,.462,0,0,,5,8,.625,1,9,10,2,0,1,2,4,17,11.0,+1\
16,16,2012-01-20,35-270,SAS,,SAC,L (-2),1,24:50,4,8,.500,0,0,,2,2,1.000,3,7,10,3,0,1,1,1,10,11.6,-15\
17,17,2012-01-23,35-273,SAS,@,NOH,W (+2),1,33:48,11,19,.579,0,0,,6,8,.750,1,6,7,2,1,0,1,2,28,21.4,-2\
18,18,2012-01-25,35-275,SAS,,ATL,W (+22),1,21:35,3,7,.429,0,0,,0,1,.000,2,9,11,2,0,0,1,0,6,6.4,-4\
19,19,2012-01-27,35-277,SAS,@,MIN,L (-8),1,32:30,2,12,.167,0,0,,5,6,.833,1,9,10,4,0,4,2,1,9,7.6,-5\
20,20,2012-01-29,35-279,SAS,@,DAL,L (-1),1,23:02,5,10,.500,0,0,,2,4,.500,2,4,6,2,0,0,1,1,12,8.8,-6\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
21,21,2012-01-30,35-280,SAS,@,MEM,W (+10),1,31:46,5,12,.417,0,0,,4,4,1.000,0,6,6,4,0,2,3,4,14,9.0,+1\
22,22,2012-02-01,35-282,SAS,,HOU,W (+8),1,30:57,9,12,.750,0,0,,7,10,.700,1,6,7,0,1,1,3,0,25,20.2,+6\
23,23,2012-02-02,35-283,SAS,,NOH,W (+12),1,22:28,6,8,.750,0,0,,7,7,1.000,4,5,9,1,2,1,1,2,19,21.7,+11\
24,24,2012-02-04,35-285,SAS,,OKC,W (+11),1,29:34,5,16,.313,0,0,,3,3,1.000,3,12,15,3,1,2,2,2,13,11.2,+24\
25,25,2012-02-06,35-287,SAS,@,MEM,W (+5),1,32:03,9,14,.643,0,0,,1,1,1.000,3,14,17,3,2,5,3,3,19,22.5,+6\
26,26,2012-02-08,35-289,SAS,@,PHI,W (+10),1,29:41,6,16,.375,0,1,.000,4,6,.667,3,8,11,1,1,2,0,3,16,12.8,+8\
27,27,2012-02-11,35-292,SAS,@,NJN,W (+14),1,23:30,6,11,.545,0,0,,1,2,.500,1,9,10,5,1,2,2,2,13,13.8,+2\
28,28,2012-02-14,35-295,SAS,@,DET,W (+4),1,32:46,7,17,.412,0,0,,4,4,1.000,5,8,13,3,2,3,3,3,18,16.8,+4\
29,29,2012-02-15,35-296,SAS,@,TOR,W (+7),1,19:04,3,8,.375,0,0,,2,2,1.000,1,2,3,2,0,0,1,0,8,5.3,-2\
30,30,2012-02-18,35-299,SAS,@,LAC,W (+3),1,41:20,5,14,.357,0,0,,1,4,.250,6,11,17,3,0,2,0,2,11,12.2,+14\
31,31,2012-02-20,35-301,SAS,@,UTA,W (+4),1,37:52,7,14,.500,0,0,,6,6,1.000,0,7,7,3,1,1,1,3,20,16.7,+8\
32,32,2012-02-23,35-304,SAS,@,DEN,W (+15),1,29:16,6,13,.462,0,0,,6,9,.667,2,7,9,3,0,3,2,3,18,14.6,+18\
33,33,2012-02-29,35-310,SAS,,CHI,L (-7),1,32:46,8,21,.381,0,2,.000,2,2,1.000,0,10,10,0,2,2,1,0,18,11.9,0\
34,34,2012-03-02,35-312,SAS,,CHA,W (+30),1,22:58,6,17,.353,0,0,,2,3,.667,1,7,8,3,0,2,1,1,14,9.0,+7\
35,35,2012-03-04,35-314,SAS,,DEN,L (-5),1,23:46,7,13,.538,0,0,,0,2,.000,1,8,9,0,0,2,2,2,14,8.6,-17\
36,36,2012-03-07,35-317,SAS,,NYK,W (+13),1,29:52,6,11,.545,0,0,,5,7,.714,1,7,8,3,1,1,2,1,17,15.1,+10\
37,37,2012-03-09,35-319,SAS,,LAC,L (-12),1,29:22,7,13,.538,0,0,,3,11,.273,2,2,4,1,0,0,0,1,17,9.8,+8\
38,38,2012-03-12,35-322,SAS,,WAS,W (+15),1,28:27,7,13,.538,0,0,,0,0,,1,8,9,3,0,1,0,1,14,13.2,+3\
39,39,2012-03-14,35-324,SAS,,ORL,W (+11),1,30:48,7,12,.583,0,0,,7,10,.700,4,9,13,2,0,0,0,1,21,20.7,-3\
40,40,2012-03-16,35-326,SAS,@,OKC,W (+9),1,33:03,5,13,.385,0,0,,6,11,.545,4,15,19,1,0,5,2,0,16,16.4,+10\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
41,41,2012-03-17,35-327,SAS,@,DAL,L (-7),1,29:08,7,12,.583,0,0,,3,5,.600,0,4,4,1,0,3,1,3,17,12.4,-8\
42,42,2012-03-21,35-331,SAS,,MIN,W (+16),1,24:19,9,19,.474,0,0,,3,6,.500,6,9,15,4,1,1,1,3,21,19.3,+13\
43,43,2012-03-23,35-333,SAS,,DAL,W (+17),1,33:27,6,18,.333,0,0,,3,4,.750,4,8,12,3,0,0,3,1,15,8.3,-8\
44,44,2012-03-24,35-334,SAS,@,NOH,W (+3),1,31:26,4,11,.364,0,0,,5,5,1.000,3,4,7,1,0,2,1,2,13,10.5,+7\
45,45,2012-03-27,35-337,SAS,@,PHO,W (+7),1,32:20,11,16,.688,0,0,,4,4,1.000,3,8,11,2,1,0,1,1,26,24.7,0\
46,46,2012-03-28,35-338,SAS,@,SAC,W (+5),1,29:34,9,18,.500,0,0,,0,0,,3,5,8,2,0,0,3,4,18,9.4,+14\
47,47,2012-03-31,35-341,SAS,,IND,W (+9),1,32:07,7,16,.438,0,0,,9,9,1.000,2,9,11,2,0,2,1,2,23,19.7,+7\
48,48,2012-04-03,35-344,SAS,@,CLE,W (+35),1,23:25,2,6,.333,0,0,,3,4,.750,1,7,8,1,1,2,3,1,7,5.7,+20\
49,49,2012-04-04,35-345,SAS,@,BOS,W (+1),1,33:39,4,12,.333,0,0,,2,4,.500,4,12,16,1,1,3,2,1,10,10.2,+7\
50,50,2012-04-06,35-347,SAS,,NOH,W (+25),1,20:24,8,9,.889,0,0,,3,4,.750,2,4,6,2,2,2,4,2,19,18.1,+12\
51,51,2012-04-08,35-349,SAS,,UTA,W (+10),1,30:55,5,10,.500,0,0,,3,5,.600,3,13,16,3,0,3,4,3,13,12.2,+8\
52,52,2012-04-11,35-352,SAS,,LAL,L (-14),1,24:13,7,14,.500,0,0,,0,2,.000,0,2,2,0,0,3,2,1,14,6.5,-12\
53,53,2012-04-12,35-353,SAS,,MEM,W (+10),1,35:07,10,15,.667,0,0,,8,11,.727,4,8,12,0,0,2,1,2,28,25.1,-1\
54,54,2012-04-14,35-355,SAS,,PHO,W (+14),1,23:37,9,14,.643,0,0,,1,1,1.000,1,10,11,1,0,0,2,1,19,14.8,+31\
55,55,2012-04-16,35-357,SAS,@,GSW,W (+21),1,11:18,5,8,.625,0,0,,3,4,.750,2,0,2,0,1,1,0,0,13,12.1,+20\
