Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2012-10-31,36-189,SAS,@,NOH,W (+4),1,34:22,10,15,.667,0,0,,4,5,.800,2,9,11,3,0,3,5,3,24,19.2,+13\
2,2,2012-11-01,36-190,SAS,,OKC,W (+2),1,33:43,8,19,.421,0,0,,4,6,.667,0,8,8,1,0,3,0,2,20,13.5,-5\
3,3,2012-11-03,36-192,SAS,,UTA,W (+10),1,31:40,7,14,.500,0,0,,5,6,.833,1,10,11,1,2,3,1,3,19,17.9,+17\
4,4,2012-11-05,36-194,SAS,,IND,W (+22),1,25:39,7,16,.438,0,0,,0,0,,1,10,11,3,3,1,0,0,14,15.1,+6\
5,5,2012-11-07,36-196,SAS,@,LAC,L (-22),1,22:43,3,8,.375,0,0,,4,6,.667,2,4,6,3,1,0,1,1,10,9.1,-13\
6,6,2012-11-09,36-198,SAS,@,SAC,W (+11),1,31:05,9,12,.750,0,0,,5,6,.833,0,12,12,4,3,5,2,2,23,27.9,+4\
7,7,2012-11-10,36-199,SAS,@,POR,W (+3),1,31:32,7,12,.583,0,0,,8,9,.889,2,7,9,1,1,3,1,2,22,21.5,-12\
8,8,2012-11-13,36-202,SAS,@,LAL,W (+2),1,36:35,9,19,.474,0,0,,0,2,.000,1,8,9,4,0,4,0,4,18,14.6,+9\
9,9,2012-11-15,36-204,SAS,,NYK,L (-4),1,31:08,6,10,.600,0,1,.000,2,4,.500,4,10,14,2,0,3,1,0,14,16.9,+7\
10,10,2012-11-17,36-206,SAS,,DEN,W (+26),1,22:46,4,8,.500,1,1,1.000,5,6,.833,0,5,5,3,1,3,2,1,14,13.9,+23\
11,11,2012-11-19,36-208,SAS,,LAC,L (-5),1,34:12,6,16,.375,0,0,,8,10,.800,5,9,14,1,0,2,2,2,20,15.9,+1\
12,12,2012-11-21,36-210,SAS,@,BOS,W (+12),1,32:34,7,12,.583,0,0,,6,9,.667,3,12,15,4,0,0,4,2,20,16.9,-3\
13,13,2012-11-23,36-212,SAS,@,IND,W (+7),1,31:09,10,19,.526,0,0,,2,2,1.000,3,14,17,1,1,0,0,4,22,19.1,+15\
14,14,2012-11-25,36-214,SAS,@,TOR,W (+5),1,41:08,11,21,.524,0,0,,4,4,1.000,1,4,5,6,0,3,2,2,26,21.1,+9\
15,15,2012-11-26,36-215,SAS,@,WAS,W (+26),1,23:19,7,11,.636,0,0,,0,0,,1,4,5,4,0,2,0,1,14,14.8,+5\
16,16,2012-11-28,36-217,SAS,@,ORL,W (+21),1,27:13,7,11,.636,1,1,1.000,0,0,,0,4,4,0,2,5,1,1,15,15.4,+13\
17,,2012-11-29,36-218,SAS,@,MIA,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play\
18,17,2012-12-01,36-220,SAS,,MEM,W (+4),1,40:43,11,17,.647,0,0,,5,5,1.000,6,9,15,4,1,1,4,3,27,25.7,0\
19,18,2012-12-05,36-224,SAS,,MIL,W (+11),1,26:44,7,15,.467,0,0,,3,3,1.000,1,9,10,1,0,2,2,1,17,12.4,+5\
20,19,2012-12-07,36-226,SAS,,HOU,W (+22),1,23:22,6,13,.462,0,0,,0,0,,2,10,12,3,0,2,1,1,12,11.8,+12\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
21,20,2012-12-08,36-227,SAS,@,CHA,W (+30),1,23:38,5,9,.556,0,0,,1,2,.500,0,2,2,2,1,3,2,1,11,9.0,+13\
22,21,2012-12-10,36-229,SAS,@,HOU,W (+8),1,32:02,1,9,.111,0,0,,8,8,1.000,2,11,13,3,0,3,1,4,10,10.4,+17\
23,22,2012-12-12,36-231,SAS,@,UTA,L (-3),1,33:18,8,17,.471,0,1,.000,6,9,.667,3,18,21,1,1,6,1,1,22,24.1,-7\
24,23,2012-12-13,36-232,SAS,@,POR,L (-8),1,29:40,6,13,.462,0,0,,4,4,1.000,2,4,6,1,2,2,3,1,16,12.6,0\
25,24,2012-12-15,36-234,SAS,,BOS,W (+15),1,31:12,2,13,.154,0,0,,1,2,.500,3,9,12,2,1,2,2,0,5,2.9,+18\
26,25,2012-12-17,36-236,SAS,@,OKC,L (-14),1,23:55,5,10,.500,0,0,,2,2,1.000,0,5,5,1,1,1,1,2,12,9.1,-15\
27,26,2012-12-18,36-237,SAS,@,DEN,L (-6),1,40:02,11,25,.440,0,0,,9,10,.900,4,14,18,6,2,5,2,3,31,31.0,0\
28,27,2012-12-21,36-240,SAS,,NOH,W (+5),1,32:10,7,11,.636,0,0,,1,1,1.000,1,9,10,5,2,2,2,1,15,18.0,+13\
29,28,2012-12-23,36-242,SAS,,DAL,W (+38),1,23:11,7,15,.467,0,0,,1,2,.500,0,5,5,4,1,2,1,1,15,12.2,+25\
30,29,2012-12-26,36-245,SAS,,TOR,W (+20),1,27:00,6,11,.545,0,0,,3,4,.750,1,5,6,2,0,2,3,0,15,11.3,+16\
31,30,2012-12-28,36-247,SAS,,HOU,W (+6),1,34:11,13,20,.650,0,0,,4,4,1.000,0,5,5,0,1,2,4,2,30,20.3,+3\
32,31,2012-12-30,36-249,SAS,@,DAL,W (+25),1,28:37,7,14,.500,0,0,,4,4,1.000,2,8,10,2,0,3,1,2,18,16.5,+24\
33,32,2012-12-31,36-250,SAS,,BRK,W (+31),1,24:30,7,12,.583,0,0,,1,1,1.000,0,4,4,3,0,2,2,2,15,11.3,+24\
34,33,2013-01-02,36-252,SAS,@,MIL,W (+7),1,34:21,11,20,.550,0,0,,6,7,.857,3,10,13,6,1,3,1,3,28,28.2,+18\
35,34,2013-01-03,36-253,SAS,@,NYK,L (-17),1,23:52,4,8,.500,0,0,,3,4,.750,2,4,6,0,1,2,3,1,11,8.2,-2\
36,35,2013-01-05,36-255,SAS,,PHI,W (+23),1,25:41,7,10,.700,0,0,,2,2,1.000,1,7,8,3,1,4,2,1,16,18.1,+11\
37,36,2013-01-07,36-257,SAS,@,NOH,L (-7),1,25:56,5,14,.357,0,0,,3,3,1.000,4,4,8,1,0,3,5,2,13,6.2,-13\
