{\rtf1\ansi\ansicpg1252\cocoartf1404\cocoasubrtf130
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs26 \cf0 \expnd0\expndtw0\kerning0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS\
1,1,2015-10-28,39-186,SAS,@,OKC,L (-6),1,25:57,3,8,.375,0,0,,2,2,1.000,3,3,6,0,2,3,1,2,8,8.9,-6,25.0\
2,2,2015-10-30,39-188,SAS,,BRK,W (+27),1,29:04,4,7,.571,0,0,,7,7,1.000,0,8,8,1,0,0,2,2,15,12.0,+26,25.5\
3,3,2015-11-01,39-190,SAS,@,BOS,W (+8),1,28:48,3,9,.333,0,1,.000,1,2,.500,1,8,9,5,0,1,4,4,7,3.2,+5,25.8\
4,4,2015-11-02,39-191,SAS,@,NYK,W (+10),1,35:10,6,10,.600,0,0,,4,6,.667,1,9,10,6,1,2,1,4,16,18.0,+20,44.5\
5,5,2015-11-04,39-193,SAS,@,WAS,L (-3),1,26:37,3,5,.600,0,0,,2,2,1.000,2,9,11,5,0,0,4,4,8,7.7,-12,27.3\
6,6,2015-11-07,39-196,SAS,,CHO,W (+20),1,24:26,4,5,.800,0,0,,3,4,.750,1,7,8,2,0,0,3,2,11,9.1,-4,22.5\
7,7,2015-11-09,39-198,SAS,@,SAC,W (+18),1,23:22,4,8,.500,0,0,,3,4,.750,4,10,14,2,0,0,2,3,11,10.6,+11,32.0\
8,8,2015-11-11,39-200,SAS,@,POR,W (+12),1,21:19,5,7,.714,0,0,,2,3,.667,0,6,6,2,1,2,1,3,12,12.1,-8,28.0\
9,9,2015-11-14,39-203,SAS,,PHI,W (+9),1,27:26,7,12,.583,0,0,,1,3,.333,1,3,4,2,1,4,1,2,15,13.6,+17,32.5\
10,10,2015-11-16,39-205,SAS,,POR,W (+13),1,28:35,4,8,.500,0,0,,2,3,.667,4,5,9,2,0,2,2,0,10,10.7,0,27.3\
11,11,2015-11-18,39-207,SAS,,DEN,W (+11),1,27:54,5,8,.625,0,0,,2,2,1.000,5,6,11,6,1,6,2,3,12,19.9,+15,49.3\
12,12,2015-11-20,39-209,SAS,@,NOP,L (-14),1,19:11,2,6,.333,0,0,,2,2,1.000,0,0,0,2,1,1,0,2,6,4.9,+7,13.0\
13,13,2015-11-21,39-210,SAS,,MEM,W (+10),1,36:12,5,8,.625,0,0,,0,0,,2,8,10,4,4,2,3,5,10,13.4,+6,40.5\
