Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1969-10-18,22-185,MIL,,DET,W (+9),,,12,,,,,,5,8,.625,,,,,,,,,29,\
2,2,1969-10-19,22-186,MIL,,SEA,W (+24),,,9,,,,,,1,1,1.000,,,,,,,,6,19,\
3,3,1969-10-22,22-189,MIL,@,SDR,W (+13),,,15,,,,,,6,10,.600,,,,,,,,6,36,\
4,4,1969-10-24,22-191,MIL,@,LAL,L (-11),,,9,,,,,,5,9,.556,,,,,,,,,23,\
5,5,1969-10-25,22-192,MIL,@,SFW,L (-14),,,7,,,,,,2,3,.667,,,,,,,,,16,\
6,6,1969-10-26,22-193,MIL,@,PHO,W (+20),,,13,,,,,,2,2,1.000,,,,,,,,,28,\
7,7,1969-10-28,22-195,MIL,,BOS,L (-13),,,14,,,,,,15,19,.789,,,,,,,,,43,\
8,8,1969-10-30,22-197,MIL,@,DET,W (+21),,,7,,,,,,9,13,.692,,,,,,,,6,23,\
9,9,1969-10-31,22-198,MIL,@,PHI,W (+4),,,9,,,,,,7,11,.636,,,,,,,,6,25,\
10,10,1969-11-01,22-199,MIL,@,NYK,L (-4),,,15,,,,,,6,11,.545,,,,,,,,,36,\
11,11,1969-11-03,22-201,MIL,,NYK,L (-16),,,7,,,,,,3,4,.750,,,,,,,,,17,\
12,12,1969-11-08,22-206,MIL,,DET,W (+4),,,10,,,,,,9,11,.818,,,,,,,,,29,\
13,13,1969-11-09,22-207,MIL,,BAL,L (-11),,,10,,,,,,4,7,.571,,,,,,,,,24,\
14,14,1969-11-11,22-209,MIL,@,BOS,W (+11),,,6,,,,,,16,17,.941,,,,,,,,,28,\
15,15,1969-11-14,22-212,MIL,,CHI,W (+22),,,7,,,,,,2,3,.667,,,,,,,,,16,\
16,16,1969-11-15,22-213,MIL,@,BAL,L (-9),,,12,,,,,,2,3,.667,,,,,,,,,26,\
