,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
1,Kobe Bryant,LAL,$25000000,,,,,,Bird Rights,$25000000
2,Joe Johnson,BRK,$24894863,,,,,,,$25309344
3,LeBron James,CLE,$22971000,$24004000,,,,,Cap Space,$22971000
4,Carmelo Anthony,NYK,$22875000,$24559380,$26243760,$27928140,,,Bird Rights,$73678140
5,Dwight Howard,HOU,$22359364,$23282457,,,,,Cap Space,$22359364
6,Chris Bosh,MIA,$22192730,$23741060,$25289390,$26837720,,,Bird Rights,$98060900
7,Chris Paul,LAC,$21468696,$22868828,$24268960,,,,Bird Rights,$44337524
8,Kevin Durant,OKC,$20158622,,,,,,Bird Rights,$20158622
9,Derrick Rose,CHI,$20093063,$21323250,,,,,Bird Rights,$41416313
10,Dwyane Wade,MIA,$20000000,,,,,,Bird Rights,$20000000
11,Brook Lopez,BRK,$20000000,$21000000,$22000000,,,,Bird Rights,$63000000
12,Marc Gasol,MEM,$19700000,$21200000,$22600000,$24100000,$25600000,,Bird Rights,$87600000
13,LaMarcus Aldridge,SAS,$19500000,$20500000,$21500000,$22500000,,,Cap Space,$61500000
14,DeAndre Jordan,LAC,$19500000,$21500000,$22500000,$24000000,,,Bird Rights,$63500000
15,Kevin Love,CLE,$19500000,$21500000,$22500000,$24000000,$25500000,,Bird Rights,$113000000
16,Paul Millsap,ATL,$19000000,$20000000,$21000000,,,,Bird Rights,$39000000
17,Blake Griffin,LAC,$18907725,$20140838,$21373950,,,,Bird Rights,$60422513
18,Paul George,IND,$17120106,$18314532,$19508958,$20703384,,,1st Round Pick,$54943596
19,Russell Westbrook,OKC,$16744218,$17769374,,,,,Bird Rights,$34513592
20,Kawhi Leonard,SAS,$16500000,$17500000,$19000000,$20000000,$21000000,,Bird Rights,$73000000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
21,Enes Kanter,OKC,$16400000,$17100000,$17900000,$18600000,,,Bird Rights,$51400000
22,Greg Monroe,MIL,$16400000,$17100000,$17900000,,,,Cap Space,$33500000
23,Wesley Matthews,DAL,$16400000,$17100000,$17900000,$18600000,,,Cap Space,$70000000
24,Tobias Harris,DET,$16000000,$17000000,$16000000,$15000000,,,Bird Rights,$64000000
25,John Wall,WAS,$15851950,$16957900,$18063850,$19169800,,,1st Round Pick,$70043500
26,James Harden,HOU,$15756438,$16784031,$17811625,,,,Bird Rights,$41446282
27,Eric Gordon,NOP,$15514031,,,,,,Bird Rights,$15514031
28,Roy Hibbert,LAL,$15500000,,,,,,Bird Rights,$15500000
29,Klay Thompson,GSW,$15500000,$16662500,$17825500,$18987500,,,1st Round Pick,$68975500
30,David Lee,BOS,$15493680,,,,,,,$15493680
31,Gordon Hayward,UTA,$15409570,$16073140,$16736710,,,,Bird Rights,$31482710
32,Chandler Parsons,DAL,$15361500,$16023000,,,,,Cap Space,$15361500
33,Jimmy Butler,CHI,$15260000,$16400000,$17545000,$18690000,$19840000,,Bird Rights,$67895000
34,Khris Middleton,MIL,$15000000,$15000000,$14000000,$13000000,$13000000,,Bird Rights,$57000000
35,Goran Dragic,MIA,$14780000,$15890000,$17000000,$18110000,$19220000,,Bird Rights,$65780000
36,Kyrie Irving,CLE,$14746000,$15851950,$16957900,$18063850,$19169800,,Early Bird Rights,$65619700
37,DeMarcus Cousins,SAC,$14728844,$15756438,$16784031,,,,1st Round Pick,$47269313
38,Draymond Green,GSW,$14300000,$15300000,$16400000,$17500000,$18500000,,Bird Rights,$82000000
39,Tristan Thompson,CLE,$14260870,$15330435,$16400000,$17469565,$18539130,,Bird Rights,$82000000
40,Reggie Jackson,DET,$14000000,$15000000,$16000000,$17000000,$18000000,,Bird Rights,$80000000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
41,Danilo Gallinari,DEN,$14000000,$15500000,$16000000,,,,,$29500000
42,Al Jefferson,CHO,$13833333,,,,,,Cap Space,$13833333
43,DeMarre Carroll,TOR,$13500000,$14000000,$15000000,$15500000,,,Cap Space,$58000000
44,Tony Parker,SAS,$13437500,$14445313,$15453126,,,,Bird Rights,$43335939
45,Joakim Noah,CHI,$13400000,,,,,,Bird Rights,$13400000
46,Eric Bledsoe,PHO,$13086957,$14000001,$14913045,$15826089,,,Bird Rights,$57826092
47,Nene Hilario,WAS,$13000000,,,,,,Bird Rights,$13000000
48,Tyson Chandler,PHO,$13000000,$13000000,$13000000,$13000000,,,Cap Space,$52000000
49,Robin Lopez,NYK,$13000000,$13500000,$14000000,$14500000,,,Cap Space,$55000000
50,Ty Lawson,HOU,$12404495,,,,,,,$12404495
51,Rudy Gay,SAC,$12403101,$13333333,$14263566,,,,Bird Rights,$25736434
52,Ricky Rubio,MIN,$12365000,$13292375,$14219750,$15147125,,,1st Round Pick,$55024250
53,Serge Ibaka,OKC,$12350000,$12350000,,,,,Bird Rights,$24500000
54,Nicolas Batum,CHO,$12235750,,,,,,Bird Rights,$11860750
55,Nikola Pekovic,MIN,$12100000,$12100000,$11600000,,,,Bird Rights,$35800000
56,Kyle Lowry,TOR,$12000000,$12000000,$12000000,,,,Bird Rights,$24000000
57,Brandon Knight,PHO,$12000000,$13000000,$14000000,$15000000,$16000000,,,$70000000
58,JaVale McGee,PHI,$12000000,,,,,,,$12000000
59,Andrew Bogut,GSW,$12000000,$11027027,,,,,Bird Rights,$23027027
60,Kemba Walker,CHO,$12000000,$12000000,$12000000,$12000000,,,1st Round Pick,$48000000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
61,Amir Johnson,BOS,$12000000,$12000000,,,,,Cap Space,$12000000
62,Al Horford,ATL,$12000000,,,,,,Bird Rights,$12000000
63,Derrick Favors,UTA,$11933333,$10983333,$11933333,,,,1st Round Pick,$34300000
64,Andre Iguodala,GSW,$11710456,$11131368,,,,,Bird Rights,$22841824
65,Stephen Curry,GSW,$11370786,$12112359,,,,,Bird Rights,$23483145
66,Nikola Vucevic,ORL,$11250000,$11750000,$12250000,$12750000,,,Bird Rights,$48000000
67,Kenneth Faried,DEN,$11235955,$12078652,$12921348,$13764045,,,1st Round Pick,$50000000
68,Tyreke Evans,NOP,$11227000,$11690500,,,,,Bird Rights,$22917500
69,Marcin Gortat,WAS,$11217391,$12000000,$12782609,$13565218,,,Bird Rights,$49565218
70,Thaddeus Young,BRK,$11200000,$12100000,$12900000,$13800000,,,Bird Rights,$36200000
71,Omer Asik,NOP,$11000000,$11000000,$11000000,$11000000,$14000000,,Bird Rights,$44000000
72,Jrue Holiday,NOP,$10595507,$11286518,,,,,Bird Rights,$21882025
73,Wilson Chandler,DEN,$10500000,$11200000,$12000000,$12800000,,,,$46500000
74,Monta Ellis,IND,$10300000,$10770000,$11230000,$11700000,,,Cap Space,$32300000
75,Luol Deng,MIA,$10151612,,,,,,Cap Space,$10151612
76,Gerald Wallace,PHI,$10105855,,,,,,,$10105855
77,Danny Green,SAS,$10000000,$10000000,$10000000,$10000000,,,Bird Rights,$30000000
78,Zach Randolph,MEM,$9638555,$10361445,,,,,Bird Rights,$20000000
79,Anderson Varejao,POR,$9638554,$10361446,$10000000,,,,,$19000000
80,Mike Conley,MEM,$9588426,,,,,,Cap Space,$9388426
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
81,DeMar DeRozan,TOR,$9500000,$9500000,,,,,Bird Rights,$9500000
82,Rajon Rondo,SAC,$9500000,,,,,,,$9500000
83,Alec Burks,UTA,$9213484,$9904495,$10595506,$11286515,,,1st Round Pick,$41000000
84,Jeff Green,LAC,$9200000,,,,,,Bird Rights,$9200000
85,Lance Stephenson,MEM,$9000000,$9400000,,,,,Cap Space,$9000000
86,Iman Shumpert,CLE,$9000000,$9700000,$10300000,$11000000,,,Bird Rights,$40000000
87,Ryan Anderson,NOP,$8500000,,,,,,Bird Rights,$8500000
88,Kevin Garnett,MIN,$8500000,$8000000,,,,,Bird Rights,$16500000
89,Taj Gibson,CHI,$8500000,$8950000,,,,,Bird Rights,$17450000
90,Tiago Splitter,ATL,$8500000,$8250000,,,,,Bird Rights,$16750000
91,Brandon Jennings,ORL,$8344497,,,,,,Bird Rights,$8344497
92,Dirk Nowitzki,DAL,$8333334,$8692184,,,,,Cap Space,$8333334
93,Corey Brewer,HOU,$8200000,$7600000,$7600000,,,,Cap Space,$23400000
94,Trevor Ariza,HOU,$8193030,$7806971,$7420912,,,,Bird Rights,$23420913
95,Markieff Morris,WAS,$8000000,$8000000,$8000000,$8000000,,,Bird Rights,$32000000
96,Arron Afflalo,NYK,$8000000,$8000000,,,,,Cap Space,$8000000
